indice_tiempo,activos_segun_balanza_pagos,activos_acumulados_sobre_subfacturacion_comercio_exterior,activos_total
1931-01-01,,30,
1932-01-01,,51,
1933-01-01,,76,
1934-01-01,,107,
1935-01-01,,139,
1936-01-01,,170,
1937-01-01,,218,
1938-01-01,,256,
1939-01-01,,289,
1940-01-01,,321,
1941-01-01,,351,
1942-01-01,,384,
1943-01-01,,415,
1944-01-01,,451,
1945-01-01,,490,
1946-01-01,,561,
1947-01-01,,692,
1948-01-01,,828,
1949-01-01,,919,
1950-01-01,,1017,
1951-01-01,,1142,
1952-01-01,,1241,
1953-01-01,,1338,
1954-01-01,,1430,
1955-01-01,,1542,
1956-01-01,,1669,
1957-01-01,,1816,
1958-01-01,,1936,
1959-01-01,,2079,
1960-01-01,,2240,
1961-01-01,,2386,
1962-01-01,,2555,
1963-01-01,,2726,
1964-01-01,,2918,
1965-01-01,,3141,
1966-01-01,,3406,
1967-01-01,,3648,
1968-01-01,,3954,
1969-01-01,,4405,
1970-01-01,,4860,
1971-01-01,,5232,
1972-01-01,,5617,
1973-01-01,,6317,
1974-01-01,,7280,
1975-01-01,,7990,
1976-01-01,,8662,
1977-01-01,,9519,
1978-01-01,,10274,
1979-01-01,,11424,
1980-01-01,,12950,
1981-01-01,,15071,
1982-01-01,,17414,
1983-01-01,,19457,
1984-01-01,,21919,
1985-01-01,,24137,
1986-01-01,,26222,
1987-01-01,,28449,
1988-01-01,,31142,
1989-01-01,,34510,
1990-01-01,,37305,
1991-01-01,50063,39427,89490
1992-01-01,50768,40815,91583
1993-01-01,56182,42049,98231
1994-01-01,57859,43815,101674
1995-01-01,69314,46373,115687
1996-01-01,76567,48830,125397
1997-01-01,83872,51496,135367
1998-01-01,89549,54253,143802
1999-01-01,97003,56949,153952
2000-01-01,98714,60500,159214
2001-01-01,101437,62852,164289
2002-01-01,109166,65121,174287
2003-01-01,118008,67434,185442
2004-01-01,122520,70503,193023
2005-01-01,122169,75413,197582
2006-01-01,133986,82258,216244
2007-01-01,146409,90295,236705
2008-01-01,148911,97024,245935
2009-01-01,161551,100806,262357
